dt,type_id,Только населенный пункт
2021-07-10,3,Вагай
2021-07-10,1,Партизан
2021-07-10,4,Ишим
2021-07-12,1,Яр
2021-07-13,3,Яр
2021-07-13,3,Ялуторовск
2021-07-14,1,Яр
2021-07-14,3,Ялуторовск
2021-07-20,3,Ялуторовск
2021-07-21,3,Ялуторовск
2021-07-22,3,Яр
2021-08-14,2,Тюмень
2021-08-15,1,Усово
2021-08-15,1,Ишим
2021-08-17,2,Тюмень
2021-08-18,3,Тюмень
2021-08-18,1,Ялуторовск
2021-08-19,3,Боровский
2021-08-19,3,Тюмень
2021-08-20,3,Тюмень
2021-08-20,1,Архангельское
2021-08-21,3,Тюмень
2021-08-22,3,Ялуторовск
2021-08-23,3,Ялуторовск
2021-08-23,3,Винзили
2021-08-24,3,Ялуторовск
2021-08-24,3,Винзили
2021-08-24,3,Вагай
2021-08-24,3,Боровое
2021-08-25,3,Ялуторовск
2021-08-25,3,Вагай
2021-08-25,3,Винзили
2021-08-25,1,Менжинское
2021-08-25,3,Боровое
2021-08-26,3,Ялуторовск
2021-08-26,1,Менжинское
2021-08-26,3,Вагай
2021-08-27,1,Менжинское
2021-08-27,3,Вагай
2021-08-29,3,Ялуторовск
2021-08-30,3,Вагай
2021-08-31,3,Вагай
2021-09-02,2,Ялуторовск
2021-09-02,3,Вагай
2021-09-03,3,Вагай
2021-09-03,1,Ишим
2021-09-04,3,Вагай
2021-09-04,1,Ишим
2021-09-04,3,Ялуторовск
2021-09-04,3,Тобольск
2021-09-04,3,Караульнояр
2021-09-04,1,Армизонское
2021-09-05,1,Армизонское
2021-09-05,3,Вагай
2021-09-05,3,Ялуторовск
2021-09-05,3,Караульнояр
2021-09-05,1,Яр
2021-09-05,1,Ишим
2021-09-05,3,Армизонское
2021-09-05,3,Тобольск
2021-09-06,3,Вагай
2021-09-06,3,Караульнояр
2021-09-06,3,Ялуторовск
2021-09-06,1,Ишим
2021-09-06,1,Одышка
2021-09-07,3,Ялуторовск
2021-09-08,3,Ялуторовск
2020-04-20,1,Абатское
2020-04-22,4,Богандинское
2020-04-25,5,Ишим
2020-04-26,1,Ишим
2020-04-26,1,Банниково
2020-04-26,1,Абатское
2020-04-26,1,Сартам
2020-04-26,1,Тобольск
2020-04-27,1,Ишим
2020-04-28,1,Менжинское
2020-04-28,1,Вагай
2020-04-29,1,Ишим
2020-05-02,5,Сор
2020-05-05,1,Ялуторовск
2020-05-06,1,Ялуторовск
2020-05-06,1,Уват
2020-05-06,1,Тюмень
2020-05-07,1,Яр
2020-05-07,1,Ялуторовск
2020-05-07,3,Уктуз
2020-05-08,1,Тобольск
2020-05-08,5,Ялуторовск
2020-05-08,1,Ялуторовск
2020-05-08,1,Вагай
2020-05-10,5,Сор
2020-05-10,3,Сор
2020-05-10,5,Покровское
2020-05-10,1,Ишим
2020-05-11,1,Сор
2020-05-11,5,Ишим
2020-05-11,1,Ишим
2020-05-11,1,Тобольск
2020-05-12,1,Тобольск
2020-05-13,3,Вагай
2020-06-19,1,Горьковка
2020-07-09,1,Покровское
2020-07-15,3,Уват
2020-07-16,4,Уват
2020-07-16,3,Уват
2020-07-18,1,Бегишевское
2020-07-19,3,Уват
2020-07-19,3,Ишим
2020-07-21,3,Уват
2020-07-22,3,Уват
2020-07-23,3,Вагай
2020-07-23,3,Уват
2020-07-24,3,Беркут
2020-07-24,1,Тюмень
2020-08-02,4,Уват
2020-08-02,3,Уват
2020-08-03,4,Уват
2020-08-03,1,Ишим
2020-08-04,3,Уват
2020-08-04,1,Ишим
2020-08-05,3,Уват
2020-08-06,3,Уват
2020-08-07,3,Уват
2020-08-08,3,Уват
2020-08-09,3,Уват
2020-08-09,4,Уват
2020-08-10,3,Уват
2020-08-11,3,Ишим
2020-09-10,5,Пеганово
2020-09-10,1,Ишим
